gps_timestamp,gps_datetime,latitude,longitude,speed_kmh,bearing_degrees,altitude_m,correlation_quality,time_difference_seconds,cell_id,physical_cell_id,tracking_area_code,location_area_code,mobile_country_code,mobile_network_code,operator_name,radio_access_tech,frequency_band,frequency_description,channel_number,bandwidth_mhz,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,cqi,rscp_dbm,ecno_db,rxlev_dbm,rxqual,ss_rsrp_dbm,ss_rsrq_db,ss_sinr_db,transmission_mode,mimo_layers,carrier_aggregation_bands,timing_advance,rrc_state,attach_status,registration_state,signal_quality,estimated_distance_m,coverage_type,neighbor_cell_count,best_neighbor_pci,best_neighbor_rsrp,cell_timestamp,cell_datetime,source,extraction_confidence
1752425797,2025-07-13T16:56:37+00:00,40.7574599,-74.0842203,0.0,,,Perfect,0,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425797,2025-07-13T16:56:37+00:00,40.7574599,-74.0842203,0.0,,,Perfect,206,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425800,2025-07-13T16:56:40+00:00,40.7574599,-74.0842203,0.0,0.0,,Perfect,3,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425800,2025-07-13T16:56:40+00:00,40.7574599,-74.0842203,0.0,0.0,,Perfect,203,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425812,2025-07-13T16:56:52+00:00,40.7587976,-74.0811809,88.82285561514058,66.24475695892511,,Perfect,15,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425812,2025-07-13T16:56:52+00:00,40.7587976,-74.0811809,88.82285561514058,66.24475695892511,,Perfect,191,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425815,2025-07-13T16:56:55+00:00,40.7587976,-74.0811809,0.0,0.0,,Perfect,18,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425815,2025-07-13T16:56:55+00:00,40.7587976,-74.0811809,0.0,0.0,,Perfect,188,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425828,2025-07-13T16:57:08+00:00,40.7601151,-74.0782793,78.90497904313858,65.57910929513446,,Good,31,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425828,2025-07-13T16:57:08+00:00,40.7601151,-74.0782793,78.90497904313858,65.57910929513446,,Good,175,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425831,2025-07-13T16:57:11+00:00,40.7601151,-74.0782793,0.0,0.0,,Good,34,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425831,2025-07-13T16:57:11+00:00,40.7601151,-74.0782793,0.0,0.0,,Good,172,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425843,2025-07-13T16:57:23+00:00,40.7609759,-74.0763989,55.51561374701423,65.40288019293234,,Good,46,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425843,2025-07-13T16:57:23+00:00,40.7609759,-74.0763989,55.51561374701423,65.40288019293234,,Good,160,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
1752425846,2025-07-13T16:57:26+00:00,40.7609759,-74.0763989,0.0,0.0,,Good,49,12345,249,12000,,311,480,Verizon,LTE,12,700 MHz,1970,20.0,-75,-65,-70,8,10,,,,,,,,,,,50,RRC_IDLE,ATTACHED,,Excellent,9440.608762859232,Urban,3,,,1752425797,2025-07-13T16:56:37+00:00,simulated_comprehensive,simulated
1752425846,2025-07-13T16:57:26+00:00,40.7609759,-74.0763989,0.0,0.0,,Good,157,12346,250,12001,,310,410,AT&T,LTE,2,1900 MHz,1870,20.0,-76.78229253279844,-65.78229253279844,-71.78229253279844,9,11,,,,,,,,,,,51,RRC_CONNECTED,ATTACHED,,Excellent,11590.832414261075,Suburban,4,,,1752426003,2025-07-13T17:00:03+00:00,simulated_comprehensive,simulated
